"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
59.9152,30.03259,"Cargo","CONMAR AVENUE",2016-12-15 01:13:04,120,409504,"Cargo CONMAR AVENUE",1122.40622083922,121,"arrival"
55.67983,21.1375,"Cargo","CONTAINERSHIPS 6",2016-12-13 18:17:07,120,409754,"Cargo CONTAINERSHIPS 6",NA,NA,"departure"
55.69683,21.12467,"Cargo","CONTAINERSHIPS 6",2016-12-13 18:11:07,360,409755,"Cargo CONTAINERSHIPS 6",2056.56449764007,360,"arrival"
55.75791,20.94193,"Cargo","CONTAINERSHIPS VII",2016-12-18 05:51:06,120,410112,"Cargo CONTAINERSHIPS VII",NA,NA,"departure"
55.77592,20.91944,"Cargo","CONTAINERSHIPS VII",2016-12-18 05:49:05,121,410113,"Cargo CONTAINERSHIPS VII",2450.12414651174,121,"arrival"
59.91543,30.03143,"Cargo","DANUBE HIGHWAY",2016-12-15 17:23:05,118,431808,"Cargo DANUBE HIGHWAY",NA,NA,"departure"
59.91272,30.04453,"Cargo","DANUBE HIGHWAY",2016-12-15 17:21:05,119,431809,"Cargo DANUBE HIGHWAY",790.836038419792,120,"arrival"
57.61215,11.66631,"Cargo","DANUBIA",2016-12-20 09:31:05,119,432264,"Cargo DANUBIA",NA,NA,"departure"
57.65377,11.72674,"Cargo","DANUBIA",2016-12-20 09:11:05,1200,432265,"Cargo DANUBIA",5868.12005064412,1200,"arrival"
54.67177,19.80285,"Cargo","DELPHIS BOTHNIA",2016-12-18 06:51:02,121,446743,"Cargo DELPHIS BOTHNIA",NA,NA,"departure"
